FACILITY_IDENTIFIER,FACILITY_NAME,FACILITY_TYPE,COUNTY,PHONE 1,PHONE 2,EMAIL 1,EMAIL 2,TOTAL_LICENCE_CAPACITY,ANNUAL_INSPECTION,ANNUAL_UNANNOUNCED_INSPECTION,PROBATIONARY_EXPIRY_DATE,AGE_RANGE,PROG_FULL_DAY,PROG_PART_DAY,PROG_SCHOOL_AGE,FAMILY_HOME,AGE_INFANT,AGE_TODDLER,AGE_PRESCHOOL,AGE_SCHOOL_AGE,ADDRESS,CITY,POSTAL,Location
2432411,Ponderosa Play and Learn After School Program,Day Care Facility,Antigonish County,902-863- 3994,,effievincent@hotmail.com,,30,"July 19, 2018","April 17, 2019",,Pre-primary - 12 years,No,No,Yes,No,No,No,No,Yes,17 APPLESEED DR. UNIT B,POST ROAD,B2G 3B7,"17 APPLESEED DR. UNIT B
POST ROAD, NS B2G 3B7
(45.617167, -62.009426)"
2883226,Top of the Hill Day Care,Day Care Facility,Halifax County,902-434-3639,,twofast4u@me.com,,60,"July 25, 2019","March 6, 2019",,5 years - 12 years,No,No,Yes,No,No,No,No,Yes,35 ANDOVER ST.,DARTMOUTH,B2X 2M1,"35 ANDOVER ST.
DARTMOUTH, NS B2X 2M1
(44.70362, -63.551022)"
2883886,Windsor Street Childcare Centre,Day Care Facility,Halifax County,902-406-8001,,windsorchildcare@eastlink.ca,,44,"July 23, 2019","February 27, 2019",,4 months - 8 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2770 WINDSOR ST.,HALIFAX,B3K 5E4,"2770 WINDSOR ST.
HALIFAX, NS B3K 5E4
(44.653969, -63.602121)"
2893162,Southdale Day Care Centre,Day Care Facility,Halifax County,902-466-7714,,southdale@bellaliant.com,,30,"July 19, 2019","April 24, 2019",,3 years - 12 years,Yes,No,Yes,No,No,No,Yes,Yes,1 REGENCY DR.,DARTMOUTH,B2Y 1Z7,"1 REGENCY DR.
DARTMOUTH, NS B2Y 1Z7
(44.666283, -63.542494)"
2894399,Cunard Street Children's Centre (The),Day Care Facility,Halifax County,902-423-6799,,cscc@ns.aliantzinc.ca,,56,"September 27, 2018","April 25, 2018",,18 months - 10 years,Yes,No,Yes,No,No,Yes,Yes,Yes,5557 CUNARD ST.,HALIFAX,B3K 1C5,"5557 CUNARD ST.
HALIFAX, NS B3K 1C5
(44.652624, -63.586433)"
2894476,Bright Beginnings Child Care Centre,Day Care Facility,Cumberland County,902-667-7857,,bbccc@ns.sympatico.ca,,80,"July 11, 2019","May 14, 2019",,6 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,25 PARK ST.,AMHERST,B4H 2R6,"25 PARK ST.
AMHERST, NS B4H 2R6
(45.823546, -64.210347)"
2894497,Building Blocks PreSchool,Day Care Facility,Kings County,902-542-1128,,building.blocks@ns.sympatico.ca,,20,"August 15, 2018","February 6, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,14 HURON AVE.,WOLFVILLE,B4P 2J6,"14 HURON AVE.
WOLFVILLE, NS B4P 2J6
(45.083873, -64.3464)"
2896474,Explore and Discover Early Learning Centre - North Sydney,Day Care Facility,Cape Breton County,"902-241-3075,",,exploreanddiscov@eastink.ca,,30,"August 3, 2018","February 26, 2019",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,258 HIGHWAY 105 HWY.,NORTH SYDNEY,B2H 3H5,
2896780,New Minas Children's Centre,Day Care Facility,Kings County,902-681-4236,,childrenscentre@nmbc.ca,,74,"July 8, 2019","January 28, 2019",,18 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,Yes,9453 COMMERCIAL ST.,NEW MINAS,B4N 3G3,"9453 COMMERCIAL ST.
NEW MINAS, NS B4N 3G3
(45.073214, -64.433208)"
2897647,Mount Pleasant Nursery School,Day Care Facility,Colchester County,902-895-6521,,jewell_roberts@hotmail.com,,70,"September 19, 2018","June 14, 2019",,4 months - 10 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39 HARRIS AVE.,TRURO,B2N 3N3,"39 HARRIS AVE.
TRURO, NS B2N 3N3
(45.350388, -63.282749)"
2897791,Circle Time Friends Preschool,Day Care Facility,Halifax County,902-455-6520,,sforbes72@hotmail.com,,35,"July 22, 2019","January 31, 2019",,18 months - 6 years,Yes,No,No,No,No,Yes,Yes,No,2990 OXFORD ST.,HALIFAX,B3L 2W4,"2990 OXFORD ST.
HALIFAX, NS B3L 2W4
(44.653675, -63.608835)"
2897801,St. Peter's Early Childhood Education Centre,Day Care Facility,Richmond County,902-535-3446,,rceceadaycare@hotmail.com,,40,"June 20, 2019","January 7, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,9359 PEPPERELL ST.,ST. PETER'S,B0E 3B0,"9359 PEPPERELL ST.
ST. PETER'S, NS B0E 3B0
(45.658212, -60.876333)"
