Registry ID,Co-op Name,Incorporation Year,Address,Town,Province/State,Postal Code,Non-Profit(N)/For-Profit(P),Type
3251438,(ACBC) ATLANTIC COUNCIL BIOENERGY COOPERATIVE LIMITED,2011,60 TWEEDNOOGE PLACE,EAST BAY,NS,B1J 1M6,N,SERVICES
3023460,340 RANCHER'S CO-OPERATIVE LIMITED,1998,"PO BOX 149, 102 LANGFORD ROAD",WEYMOUTH,NS,B0W 3T0,P,AGRICULTURE
3057952,ABC HOUSING CO-OPERATIVE LIMITED,2001,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
3309533,ABILITY WOOD PRODUCTS CO-OPERATIVE LIMITED,2017,40 LOWER MACLEAN STREET,GLACE BAY,NS,B1A 2K7,P,RETAIL CONSUMER PRODUCTS
3073275,ACADIA CINEMA COOPERATIVE LTD.,2002,450 MAIN STREET,WOLFVILLE,NS,B4P 1E2,N,SERVICES
3265866,AILEEN'S PETS WITHOUT VETS CO-OPERATIVE LTD.,2012,"PO BOX 45, STN WHITNEY PIER",SYDNEY,NS,B1N 3B1,N,SERVICES
1459758,ALBRO COURT HOUSING CO-OPERATIVE LIMITED,1982,2 CEDAR COURT,DARTMOUTH,NS,B3A 2K2,N,HOUSING
3052710,ALDERBERRY VILLAGE CRAFT CO-OPERATIVE LIMITED,2001,49 INGLIS PLACE,TRURO,NS,B2N 4B5,P,WORKER LABOUR
3233867,ALL NOVA SCOTIA GREEN CHRISTMAS TREE CO-OP LTD.,2009,PO BOX 98,NEW GERMANY,NS,B0R 1E0,P,FOREST PRODUCTS
3280780,AMHERST TRAIN STATION ARTISAN GALLERY COOPERATIVE LIMITED,2014,"142 SOUTH ALBION STREET, SUITE 130",AMHERST,NS,B4H 4H4,N,CRAFT PRODUCTS
3293059,ANTIGONISH COMMUNITY ENERGY COOPERATIVE LIMITED,2015,59 MACKEN ROAD,ANTIGONISH LANDING,NS,B2G 2L2,N,SERVICES
1743824,ANTIGONISH FARM AND GARDEN CO-OPERATIVE LIMITED,1986,91 ST. ANDREWS STREET,ANTIGONISH,NS,B2G 2G9,P,RETAIL CONSUMER PRODUCTS
2467461,APAQTAUKEWAQ FISHERIES CO-OP LTD.,1995,22 ESTHERICH ROAD,"CHAPEL ISLAND, RICHMOND CO",NS,B0E 3B0,P,FISH PRODUCTS
1486567,APPLE BLOSSOM HOUSING CO-OPERATIVE LIMITED,1983,886 BEZANSON COURT,KENTVILLE,NS,B4N 5B8,N,HOUSING
3319680,ARC OF THE COAST EASTERN CAPE BRETON COOPERATIVE ALLIANCE LTD.,2018,8704 GABARUS HWY,GABARUS,NS,B1K 3R9,N,SERVICES
3254480,ARGYLE FARMERS' & ARTISANAL MARKET CO-OPERATIVE LIMITED,2011,67 WILLIAM ROBBINS ROAD,TUSKET,NS,B0W 3M0,N,AGRICULTURE
2252510,ARIMATHEA FUNERAL CO-OPERATIVE LIMITED,1993,"8741 HIGHWAY #224, BOX 45",UPPER MUSQUODOBOIT,NS,B0N 2M0,N,SERVICES
3232669,ART 1274 HOLLIS CO-OPERATIVE LIMITED,2008,1274 HOLLIS STREET,HALIFAX,NS,B3J 1T6,N,CRAFT PRODUCTS
3280816,ARTISYNC TECHNOLOGIES CO-OP LTD.,2014,812 UPPER PRINCE STREET,SYDNEY,NS,B1P 5N7,P,CRAFT PRODUCTS
3277711,ARTPORT GALLERY COOPERATIVE LIMITED,2014,277 BEAVER BANK RD,BEAVERBANK,NS,B4E 1K1,N,CRAFT PRODUCTS
1350939,ATHOL FORESTRY COOPERATIVE LIMITED,1977,21397 HIGHWAY #2,FORT LAWRENCE,NS,B4H 3Y5,P,FOREST PRODUCTS
2484748,ATLANTIC CO-OPERATIVE CED INSTITUTE LTD.,1995,PO BOX 1872,TRURO,NS,B2N 6C7,N,SERVICES
1350942,ATLANTIC FILMMAKERS CO-OPERATIVE LIMITED,1974,"P.O. BOX 2043, STN.  M",HALIFAX,NS,B3J 2Z1,N,SERVICES
1451701,ATLANTIC HOUSING CO-OPERATIVE LIMITED,1981,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
1798935,ATLANTIS HOUSING CO-OPERATIVE LIMITED,1987,"143 RYLAND AVENUE, UNIT 24",TRURO,NS,B2N 6L4,N,HOUSING
1351007,BADDECK VALLEY WOOD PRODUCERS CO-OPERATIVE LTD.,1973,BOX 512,"BADDECK, VICTORIA CO.",NS,B0E 1B0,P,FOREST PRODUCTS
3039702,BARRACHOIS RETREAT CO-OPERATIVE LIMITED,2000,1120 SANDPOINT ROAD,TATAMAGOUCHE,NS,B0K 1V0,P,WORKER LABOUR
1349506,BAXTER'S HARBOUR CO-OPERATIVE LIMITED,1976,208 WENEGA ROAD,RR5 CANNING,NS,B0P 1H0,N,WORKER LABOUR
3091436,BIG EAST COOPERATIVE LIMITED,2004,PO BOX 34,KENTVILLE,NS,B4N 3V9,P,AGRICULTURE
1354477,BLACK ROSE CO-OPERATIVE LIMITED,1977,2044 KLINE STREET,HALIFAX,NS,B3L 2X3,N,HOUSING
3327891,BOOMER HAVEN CO-OP LTD.,2019,210 LYMAN STREET,TRURO,NS,B2N 4S6,N,SERVICES
3316039,BRETON FOREST INNOVATION CO-OPERATIVE LTD.,2018,2390 CABOT TRAIL,MIDDLE RIVER,NS,B0E 1B0,N,FOREST PRODUCTS
1351470,BRIDGEWATER FARMERS COOPERATIVE SOCIETY LIMITED,1946,123 ELM ST.,BRIDGEWATER,NS,B4V 2V5,P,RETAIL CONSUMER PRODUCTS
1351912,BRIERLY HOUSING CO-OPERATIVE LIMITED,1979,11 COURT STREET,ANTIGONISH,NS,B2G 1Z7,N,HOUSING
1655565,BROOKSIDE ABATTOIR CO-OPERATIVE LIMITED,1985,24 BROOKSIDE BRANCH ROAD,BIBLE HILL,NS,B6L 2A6,P,AGRICULTURE
3020069,C.A.J. WOODWORKERS CO-OPERATIVE LIMITED,1998,"1296 ASHFIELD ROAD, RR #5",ORANGEDALE,NS,B0E 2K0,P,WORKER LABOUR
3042694,C.K.D. FABRICATORS CO-OPERATIVE LIMITED,2000,294 RAMSHEAD RIVER ROAD,DILIGENT RIVER,NS,B0M 1H0,P,WORKER LABOUR
1914722,CANSO CO-OPERATIVE HEALTH CENTRE LIMITED,1988,BOX 62,CANSO,NS,B0H 1H0,N,SERVICES
1371852,CANSO CO-OPERATIVE LIMITED,1937,PO BOX 34,CANSO,NS,B0H 1H0,P,RETAIL CONSUMER PRODUCTS
3094613,CAPE BLUE ROADS AND SERVICES CO-OPERATIVE LIMITED,2004,"52 CAPE JACK ROAD, RR #2",HAVRE BOUCHER,NS,B0H 1P0,P,SERVICES
3218201,CAPE BRETON FARMERS' MARKET CO-OPERATIVE LIMITED,2007,"PO BOX 153, STATION A",SYDNEY,NS,B1P 6H1,N,AGRICULTURE
3222050,CAPE BRETON MUSIC INDUSTRY CO-OPERATIVE LIMITED,2007,PO BOX 122,SYDNEY,NS,B1P 6G9,N,WORKER LABOUR
3049703,CAPE JOHN COMMUNITY PASTURE CO-OPERATIVE LIMITED,2000,71 MOUNT CAMERON CIRCLE,ANTIGONISH LANDING,NS,B2G 2V3,P,SERVICES
3054030,CAPE MABOU PASTURE CO-OPERATIVE LIMITED,2001,P.O. BOX 4,MABOU,NS,B0E 1X0,P,SERVICES
3246190,CAPE NORTH FARMERS MARKET COOPERATIVE LIMITED,2010,C/O BOX 48,ST. MARGARET VILLAGE,NS,B0C 1R0,N,AGRICULTURE
1416720,CAPELAND HOUSING CO-OPERATIVE LIMITED,1981,"C/O COMMUNITY HOUSING MANAGEMENT NETWORK
207 - 59 INGLIS PLACE",TRURO,NS,B2N 4B5,N,HOUSING
3268827,CARBON ARC CINEMA COOPERATIVE LTD.,2013,2443 AGRICOLA ST.,HALIFAX,NS,B3K 4C1,N,SERVICES
3302211,CEDAR LAKE WIRELESS COOPERATIVE LTD.,2016,PO BOX 112,PORT MAITLAND,NS,B5A 5R9,N,SERVICES
1649039,CEILIDH FISHERMEN CO-OP LIMITED,1985,P.O. BOX 99,PORT HOOD,NS,B0E 3W0,P,FISH PRODUCTS
3231260,CELTIC HEART OF NORTH AMERICA COOPERATIVE LIMITED,2008,"850 GRAND LAKE ROAD, SUITE 8",SYDNEY,NS,B1P 5T9,N,CRAFT PRODUCTS
1369639,CENTRAL COOPERATIVE SOCIETY LIMITED,1940,P.O. BOX 118,ST. MARGARET'S VILLAGE,NS,B0C 1R0,P,RETAIL CONSUMER PRODUCTS
1879785,CENTRAL DARTMOUTH HOUSING CO-OPERATIVE LIMITED,1988,"C/O COMMUNITY HOUSING MANAGEMENT NETWORK, 207 - 59 INGLIS PLACE",TRURO,NS,B2N 4B5,N,HOUSING
1350860,CENTRAL SPRYFIELD HOUSING CO-OPERATIVE LIMITED,1978,108 HALLMARK AVENUE,LOWER SACKVILLE,NS,B4C 3R7,N,HOUSING
1453947,CHAMELEON HOUSING CO-OPERATIVE LIMITED,1981,"C/O COMMUNITY HOUSING MANAGEMENT NETWORK
207 - 65 INGLIS PLACE",TRURO,NS,B2N 5B5,N,HOUSING
1350886,CHEGOGGIN DYKE CO-OPERATIVE LIMITED,1973,1002 PEMBROKE ROAD,PEMBROKE,NS,B5A 5G9,P,FISH PRODUCTS
1717278,CHIGNECTO HOUSING CO-OPERATIVE LIMITED,1986,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
