st_number,pos_code,label,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
1,"B4C 3H9",residential,-63.6891562,44.7821735,1,"SMOKEY DR",,"LOWER SACKVILLE",,,"B4C 3H9",,2d5a133fc569141d
114,"B2W 2S7",business,-63.5339826,44.6722129,114,"WOODLAWN RD",,DARTMOUTH,,,"B2W 2S7",,b23640796dda7e33
11,"B3P 1N3",business,-63.6192786,44.6236187,11,"MONT ST",,HALIFAX,,,"B3P 1N3",,c87c664e5db958f4
2406,"B3K 3C1",residential,-63.5885998,44.6554263,2406,"GOTTINGEN ST",,HALIFAX,,,"B3K 3C1",,dd9ca8b5d842bce7
6,"B3S 1G5",business,-63.6742094,44.6717695,6,"ASTER CRT",,HALIFAX,,,"B3S 1G5",,54e8a34a18d4ff15
3,"B3R 1J7",business,-63.6110656,44.6034824,3,"SYLVIA AVE",,HALIFAX,,,"B3R 1J7",,1357bd43818508bb
144,"B2V 1H6",business,-63.4886299,44.6677334,144,"AVONDALE RD",,"COLE HARBOUR",,,"B2V 1H6",,e59416856da44207
21,"B2W 2R7",business,-63.526932,44.6838304,21,"WOODLAWN RD",,DARTMOUTH,,,"B2W 2R7",,448deeecde838779
110,"B3N 2L1",business,-63.6412376,44.6521522,110,"FREDERICK AVE",,HALIFAX,,,"B3N 2L1",,23cbeafff5975390
540,"B4A 0C9",business,-63.6777524,44.7015746,540,"SOUTHGATE DR",,BEDFORD,,,"B4A 0C9",,e677733f4cd60eb7
6724,"B3L 2R9",business,-63.6218379,44.6579013,6724,"CHISHOLM AVE",,HALIFAX,,,"B3L 2R9",,966938f2e88d0df2
3792,"B3K 3G5",residential,-63.6126252,44.6712363,3792,"NOVALEA DR",,HALIFAX,,,"B3K 3G5",,f3341a02a830a13e
8,"B2Y 1Y2",business,-63.5430613,44.6780105,8,"BEACON ST",,DARTMOUTH,,,"B2Y 1Y2",,07df5f4c4d53320b
211,"B2X 3T4",business,-63.5329491,44.707026,211,"AVENUE DU PORTAGE",,DARTMOUTH,,,"B2X 3T4",,48c61b2542cac420
