reviews,label
,label
"Bought an F150 here recently. They make good promises to your face and don't follow through. 
1st- Gas Gauge isnt working and I discovered that the day I drove off the lot, they wont go good for fixing it

2nd- put in our bill of sale I wanted the missing hubcaps. Still waiting over a month later (yes ive been checking in)

3rd - Hubcaps are bent out and when I looked to decide I was going to replace them the techs put the wheel weights ON the hubcaps... Real S-M-R-T 

Don't waste your time here unless you're looking for that greasy-sleezy used car sales experienceI was Approved for financing!!! and I got the car I wanted plus tires!!!! Thank you Barry for you hard work! I know I was a pain in the Butt but hey at least I got your printer working again Barry was a great sales person! Even though we didn't get what we asked for an were approved the site down and talk with him was great! Even though the mix up happened I'd honesty have to say that they got us am approval pretty darn quickly for what we wanted! And Barry thanks for trying to help me find the yogurt bunny too :) ❤️",residential
"In the past month, we've been in to the store 3 times to use the print and copy services at this location. Each time there has been an issue with attachments not working or the files being too big for the print me app that an employee had to help us each time. Thankfully for us that super helpful employee was Dru! Dru, you saved us so much time and frustration; thank you so so much for all your help, knowledge and friendly service. I was so happy to see that you were working the second and third times we visited the store because I knew we would have everything done quickly, efficiently and from someone who has great customer service.Frustrating experience at Staples today. I’m not a regular customer so I’m not super familiar with their print services but as a designated Purolator drop-off location, I will occasionally drop packages there. During a previous visit, I was told how to email a label for printing. I completed this step prior to arriving to expedite the process. 

There was a line when I arrived with 2 people in front of me and several people followed behind me. At one point, the gentleman behind the counter asked me to wait at the shipping counter if I had a parcel. He called over for extra help and the other associate proceeded to help everyone in line but me. Benefit of the doubt - maybe the other associate didn’t know how to do shipping? Fair enough. 

When the first associate finally came over, I was told that I should be printing the label myself. I explained that on a previous visit the associate looked after that part but I was happy to learn for future visits if he could show me. He said he could show me if I “want to wait behind everyone else in line”. I didn’t get upset but I must’ve said something sarcastic because he finally decided to be helpful and printed the label I had prepared ahead of time.

Now, I fully understand retail and that the store doesn’t technically make any money from Purolator and FedEx drop-offs. And maybe the staff have been told not to give any priority or proper customer service to their shipping customers. I would think Purolator and FedEx would be interested in knowing this if that were the case. 

End of the day, my parcel got shipped (or will be, I guess) but I’m no further ahead in my understanding of how this process works. If they want to be helpful and print labels for customers, I’m very confused at this interaction. If I’m supposed to print my own labels, I’m no further ahead after today either. So, I’m likely destined for a future experience very similar to the one I had today...Absolutely great customer service!  Went there to do some printing/copying...machine jammed up so the staffer not only made our copies for us but gave us some bonus copies for free for our trouble/inconvenience.  So great to exceed expectations and be willing to do so without any request or complaints - just did the right thing!  As businesses should!  So good!!!  Thank you Staples!!! A few days ago, I ordered an arrangement of roses from Flower Trends, for my moms birthday. She absolutely loves them! Flower Trends is my go-to flower store, for every occasion. They have the best quality flowers, of course, but what I like the most about them is they are experts at customer service and delivering value. They will go the extra mile for you, every time. Thank you Flower Trends Florists.Roxanna designed the most beautiful flower arch, bouquets and boutonnieres for our wedding this August! She was amazing to work with and really listened to what we were looking for. Thank-you so much! We loved the flowers on our wedding day.Flowers were apparently lovely and delivery very prompt. Will order again from this florist. Excellent store for the young budding reader. With sections clearly labeled to help you find the age appropriate novels for your children. Great selection of books, novels, toys and plush toys to stimulate the imagination of the children.Great selection of books, service was great.  The sales person was helpful and mentioned that they could order certain selections in if they didn't have them in store.  The toy selections was not as extensive as the books, but there were different items that I didn't see in other stores.Great service and a wide selection of items
 Books, toys, and lego to name a few. Certainly store for any adult interested in finding items to help enlighten children. When I first walked in I didn't expect much considering the past few times I got my nails done at different places they butchered them and were over priced garbage. These guys at T.A Nails know exactly what they are doing!! My nails are so shiny and smooth! The guy who did them for me was very nice as well!! I only paid 60 bucks and it was well worth it in my opinion. I WILL be going back!i would rate this place a five after going a few hours ago! The service was great and he was always asking how i was doing and telling me what he was about to proceed with. The place was VERY CLEAN and you know that because right after getting them done and dried they brush off the access and ask you to go wash your hands. (It took around 45 minutes for them to be complete) He was not one of those people who talked to the other worker the whole time or one  of those people who didnt talk at all, he started conversations when necessary and told me advice on maintaining the nails. Most of all I LOVE THEM!This place is amazing for getting nails done.the people will treat you like family, and the employees are super nice!! I found the great deal they advertised and purchased it. It was amazing.Perfect day to take the bus over! Wherever I went, I received good help in the stores. The heat outside also helped. :)The Woodlawn plaza is a good place they have the Giant tiger / Staples the bargain barn and lots of other shops there I go there a couple times a month to shop for things. I've been going here for years now, and from eye exams - to frames, lenses, and contacts they've been amazing all around. 
Great quality products and always friendly service.My 90-yr-old parents (both with dementia) didn't even buy their glasses at Vogue, but when they got broken, Vogue fixed them anyway and didn't even charge us anything!  They seemed genuinely concerned about helping out someone in need, and were just super nice people.  Needless to say, when Mom needed new glasses, we went there and they were very kind and patient with her.  These folks not only know how to provide good best customer service but how to be really decent human beings, tooWhat an amazing experience! The staff was friendly and very helpful and the prices are fantastic! I left very happy and feeling like I got a great deal on something I needed to buy. They were also able to get my glasses done very fast and were very organized and efficient. World Gym Dartmouth is an amazing gym with the best trainers and great equipment. 

I have been doing personal training there since the day it opened with Aaron McDonald. I actually left my previous gym to follow him here as we have been a team over 14 months now and he will always be  my trainer to keep me on track as he and I both know I need the accountability to stay on track. In a year I have lost 70 lbs with his help. He takes his job to heart and truly wants to see his clients reach their goals. If something isn't working, he will change the plan to fit you so the goals can be reached.  The equipment that they have has allowed Aaron to be able to push me to my limits by targeting certain muscles to get the results that I desire and to allow me to reach my goals. I am so thankful that I have met Aaron and that he has become such an important part of my life. I will always be grateful to him as he has helped changed my life for the better forever and that is something I can never repay him for. If you want results and will be true to yourself then I recommend Aaron as you will get those results if the work is put in that needs to be done! Aaron can't change you but he can help guide you so you can change you to get to your goals!I'm so excited this gym has opened! Brand new and the equipment is great! Lots of different pricing levels starting at only $6 bi-weekly for the basics which is enough unless you're into serious training. Childcare offered on site during your workout. No-hassle refund and cancellation policies. Great rates on personal training compared to other gyms in town. Keep it up!Love this gym !! It's a great atmosphere and its building a great community Dr Cruz is a highly skilled professional, who not only offers excellent eye health support,  but has an excellent ""Newfoundland"" caring personality. He doesn't talk at you, but discusses each concern in a caring personable manner. You feel he really cares. Dr Cruz has taken excellent care of us for many years. You can take his counsel to the bank. Gene and Marilyn Antle. Excellent customer service, and excellent haircutWas not there This place is magical. I love to see food be treated the right way. Take what you will eat and that's all. No huge packs no waste, beautiful. Better yet its way cheaper to buy some items here. 👍Lots of gluten and dairy free products, always new products and very well laid out store. Love shopping there and excellent staff.Bulk Barn is a go-to shopping destination for me. I find all the unusual stuff I'm looking for, in bulk, which I can put into my own containers and pass on the plastic bags. I find the prices reasonable and the quantities purchased are completely up to you. I've never been disappointed shopping at Bulk Barn. And if you're looking for something uncommon to satisfy a particular diet, in all likelihood, you'll find it here. Some of the not-so-common things I purchase, for example, are Buckwheat Honey, Corn Flour, Arrowroot, Brown or White rice flour, xanthan and guar... plus a whole section of candies and treats if you feel like being a little on the dietary wild side. Check it out! (Yes, this is an unsolicited, objective review!) A great service  very happy with what I got done .   friendly  professional and great quality  
My no1 choice for any denture work 

Thank you Mr Crowell Bright, clean store with lots of selection.   I don't sew near as much as I used to so I can't comment on the prices.Really great staff and management. A pleasure to deal with!Great store. Friendly staff and well laid out. My son has been going here since he was 5 months old and he LOVES it. He has learned so much and the staff are excellent! Highly recommend!Way over priced for the quality of care. My daughter is sent home almost daily and I'm left to pay a baby sitter and the daycare bill.Both of my kids spent the entire duration at this daycare and I can't say enough great things about the staff and the facilities there. Amazing group of people working there. They prepared both of my children for school and they made a lot of great friends there. Great location and very flexible and caring atmosphere. The Tiger is always great fun for shopping. The selection of products is excellent, you can find things here that are unique to the store, and priced for great value. The clothes are stylish, and affordable; the produce mostly Canadian, which makes me happier to spend there; and there's a lovely range of gifts and goodies all year round.good prices  watch  out for the  veg  they can be outLove this Giant tiger.  Staff friendly and helpful. Staff is super helpful and knowledgeable. Great experienceThe Sally's Team is always Friendly & Helpful.The staff are so nice, and extremely helpful! I don’t usually write reviews but you guys rock, love my hair extensions ;) Not a bad place but they do not offer direct billing to your insurance company which is a minor inconvenience. But the receptionist as well as the doctors there I have had a very good experience with.",business
,business
Nice place...friendly.It's a bug infested eyesore. Tear it down and build some decent low income housing for the city.Decent place to raise your kids,residential
Love this happy learning centre. Children have so much to learn and explore.,business
,business
These lovely people genuinely cared for the kids there. Lots of healthy snacks and learning activities,business
"Great Teachers! Completed my Auto Tech and Red SealI was taking a first aid course and stopped in the cafeteria for lunch. The food was very good, large portions and very reasonably priced. There are a variety of foods for all tastes and a more upscale restaurant on campus.Great culinary program. Helpful instructors, well organized and re vamped program. Fantastic resources and in class work. As close to real life training as you can get! Great spot for a 5 course meal at a reasonable cost for 2 ppl and the food is as amazing as the students and the experience 👍👍Absolutely amazing BBQ meal.  Great food and very good caring service.  We will be back again and again and again.We had a great night and great service Great place to find a dependable Realtor. Happy to help you buy or sell your home. Knowledgeable agents and staff.Top notch professionals who care about their clients. Not pushy, they take their time and work with you to find what you like.Century 21 Trident is more than just a real estate company! They are experts whom really care about their client! Make your home buying and selling experience memorable for the right reasons!",business
